Scenario,Title,FinalWord,Paragraph,Questions,Correct,ScenarioType,Format,Immersion
slides,Work presentation,typical,"You are giving a presentation at work. During one of your slides, you lose your train of thought and have to take a moment to look over your notes. As you start again, you think that losing one's train of thought while presenting is typical.",Is it normal to lose your train of thought while presenting?,Yes,Social_Image,Visual,picture
thinking,Yesterday evening,natural,"You are thinking about a fun evening you had yesterday. As you remember what you did, your thoughts seem to speed through your mind much quicker than normal. You find this natural.",Do you worry you might be going crazy when your thoughts speed through your mind?,No,Physical_AnxSensitive,Visual,none
creative,Creative writing class,enthusiastic,"A friend suggests that you join an evening class on creative writing. You go online and read information about the class. As you navigate through the site, the thought of other people looking at your writing makes you feel enthusiastic.",Do you expect to feel uncomfortable if others look at your work?,No,Social_Image,Visual,picture
important,Important visitors,organized,"Some important people are visiting your office, and you are asked to present a project to them. On the day of the presentation, you arrange your slides and mentally prepare yourself. You think the visitors will evaluate your performance as organized.",Will the visitors be unimpressed with your performance?,No,Social_NoImage,Visual,none
interns,Summer interns,leave,"Your boss has hired a few interns for the summer. Your boss asks you to stay after work to give them a brief presentation about the company’s goals and values but tells you that this is completely optional. You feel a little nervous about giving the presentation, and you decide to leave.",Do you stay to give the optional presentation?,No,Social_Image,Visual,picture
finger,Cooking accident,healing,"You accidentally cut your finger slightly while cooking. You promptly clean the cut and put on a bandage. Later that evening, the cut hurts a little bit, and you think it is likely healing.",Is your finger seriously infected?,No,Physical_NonAnxSensitive,Visual,none
babysitting,Babysitting,fine,"Your are babysitting, and the child is outside playing with friends. You look out the window to check on them, and they are not there. The child is probably fine.",Is the child okay?,Yes,Other,Visual,none
office,Discussion with a teacher,stay,"You are having a discussion with your teacher in his office, which is a little anxiety provoking for you. You think about ending the discussion early. After a brief pause, you decide to stay.",Are you able to continue the discussion with your teacher?,Yes,Social_Image,Visual,picture
intimidating,One-on-one meeting,tolerable,"You have a one-on-one meeting today with your intimidating boss, which you are nervous about. During the meeting, you momentarily lose your train of thought. After that, your anxiety is tolerable.",Are you able to tolerate your anxiety while meeting with your boss?,Yes,Social_Image,Visual,picture
watch,Favorite watch,enjoyable,"You are out to dinner and realize that you are not wearing your favorite watch. You don’t remember taking it off earlier but think it is probably where you always keep it. You become a little anxious thinking about where the watch is, and your dinner ends up being enjoyable.",Is the dinner miserable while you worry about the watch? ,No,Other,Visual,none
football,Football game,thrilled,"You are at a football game. The crowd is cheering loudly for your team, and your head is pounding. You feel thrilled.",Do you worry that the pounding in your head may signify something serious?,No,Physical_AnxSensitive,Visual,none
elder,Elder neighbor,fine,"You notice that you haven't seen your elder neighbor recently. You normally visit him regularly, so it is strange that you have not seen him lately. Your neighbor has probably been fine.",Has your elder neighbor likely been sick?,No,Other,Visual,none
department,Talk to another department,manageable,"You have to give a talk to another department for work. As you think about the talk, you feel butterflies in your stomach. On the morning of the talk, you feel nervous, and you think your nerves will be manageable.",Are you able to tolerate your anxiety?,Yes,Social_Image,Visual,picture
mother,Office interruption,caring,"You work in a large office along with your supervisors. One morning, you have to call your mother. Everyone else is working quietly and can hear what you say. Afterwards, you guess that they think calling your mother from work means you are caring.",Were others judging you negatively because you called your mother from work?,No,Social_NoImage,Visual,none
break,Break during class,conscientious,"During a brief break in a class you are taking, you call home to speak to your mother. You are late getting back into the classroom. The other students probably think that your calling home during the break must mean that you are conscientious.",Did people think your returning to class late was rude?,No,Social_NoImage,Visual,none
